GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
87,7788,94,99,22.867,330234555708
87,7788,13,98,22.8712,330239945445
87,7788,29,97,22.8753,330182679493
88,7788,26,99,22.8794,330104528311
87,7788,21,98,22.883,330174594888
87,7788,92,98,22.8861,330342350442
87,7788,93,98,22.8896,330369972842
87,7788,19,98,22.8932,330140235316
87,7788,24,99,22.8974,330364583105
87,7788,26,98,22.9014,330308664587
87,7788,97,98,22.9046,330226471103
87,7788,86,97,22.9087,330227144820
87,7788,19,98,22.9134,330147646204
88,7788,31,98,22.92,330200196137
87,7800,23,98,22.9255,330298558831
88,7800,19,98,22.9297,330341003007
88,7800,01,99,22.9339,330279021036
88,7800,96,98,22.9396,330276999884
88,7800,37,97,22.9437,330314054324
87,7800,23,99,22.9493,330404332413
88,7800,13,98,22.9535,330287779358
88,7800,11,98,22.9576,330294516529
88,7800,85,98,22.9615,330351108764
87,7800,18,97,22.9652,330440713136
88,7800,24,99,22.9701,330394226657
88,7800,13,98,22.9744,330384794618
88,7800,12,97,22.9795,330379404881
88,7800,95,98,22.9831,330445429155
87,7800,88,98,22.9959,331475542577
88,7802,08,99,23.0069,333181394234
88,7802,99,98,23.0194,334243846076
88,7806,05,99,23.0326,334451350938
88,7810,11,98,23.0408,334506595739
88,7810,15,97,23.0465,334460782977
88,7810,20,98,23.0517,334644034024
88,7810,98,98,23.057,334571946296
88,7810,98,97,23.0612,334627191097
88,7810,89,98,23.0647,334609674453
88,7810,21,99,23.0677,334689173069
88,7810,12,97,23.0722,334616411623
88,7810,34,97,23.0772,334086869995
88,7806,26,98,23.0846,334059921312
88,7806,15,97,23.0876,334101691771
88,7806,98,98,23.0914,334079459107
88,7806,86,98,23.0942,334085522561
88,7806,31,97,23.0987,334147504533
88,7806,21,99,23.1024,334103712922
88,7806,30,98,23.1063,334227676866
88,7806,10,98,23.11,334149525684
88,7806,93,98,23.1138,334090912298
88,7806,78,98,23.1176,334143462230
88,7806,08,99,23.1212,334153567987
88,7806,16,98,23.1244,334202749334
88,7806,07,97,23.1292,334159631440
88,7806,00,98,23.1384,334357704263
88,7806,07,98,23.1439,334307849199
88,7806,93,99,23.1478,334303133179
88,7812,01,98,23.1508,334318628672
88,7806,35,98,23.157,335423524690
88,7806,23,98,23.1619,335421503539
88,7806,17,98,23.1649,335383101665
88,7806,21,99,23.1686,335331225450
88,7806,91,98,23.1719,335429588144
88,7806,86,98,23.1749,335407355480
88,7806,94,99,23.1784,335569721298
88,7806,20,98,23.1828,335466642584
88,7806,26,97,23.1871,335515150214
88,7806,18,98,23.1901,335501002155
88,7806,91,98,23.1978,334541629027
88,7806,89,98,23.2027,334544323895
88,7806,85,98,23.2064,334502553436
88,7806,14,99,23.2106,334588115506
88,7806,07,98,23.2142,334542976461
88,7796,25,98,23.2216,334410927913
88,7798,22,98,23.2276,334357030546
88,7798,84,98,23.2319,334399474722
88,7798,05,99,23.2355,334318628672
88,7798,24,98,23.239,334397453571
88,7798,33,98,23.2437,334382631795
88,7798,21,99,23.2476,334393411269
88,7798,05,98,23.2516,334393411269
88,7798,88,99,23.2557,334366462585
88,7798,05,98,23.2601,334509964324
88,7798,29,98,23.2677,334606305867
88,7798,19,98,23.2723,334503900870
88,7798,05,98,23.277,334594178960
88,7798,10,97,23.2803,334544997612
88,7798,98,98,23.2838,334494468831
88,7798,83,98,23.2872,334555777086
88,7798,30,99,23.2903,334529502120
88,7798,16,98,23.2947,334406885610
88,7798,52,96,23.2973,336126211609
87,7798,51,0,23.2992,338183069867
87,7798,51,1,23.3009,339320978022
86,7798,51,0,23.3024,339847151065
86,7798,51,1,23.3037,336324958149
87,7798,89,88,23.3065,336310810090
87,7798,79,98,23.3091,336276450519
