0/41256 (epoch 0), train_loss = 5.322, time/batch = 2.011
1/41256 (epoch 0), train_loss = 4.425, time/batch = 0.766
2/41256 (epoch 0), train_loss = 5.516, time/batch = 0.765
3/41256 (epoch 0), train_loss = 4.381, time/batch = 0.764
4/41256 (epoch 0), train_loss = 3.745, time/batch = 0.853
5/41256 (epoch 0), train_loss = 3.211, time/batch = 0.770
6/41256 (epoch 0), train_loss = 3.222, time/batch = 0.765
7/41256 (epoch 0), train_loss = 3.212, time/batch = 0.768
8/41256 (epoch 0), train_loss = 3.185, time/batch = 0.767
9/41256 (epoch 0), train_loss = 3.155, time/batch = 0.770
10/41256 (epoch 0), train_loss = 3.122, time/batch = 0.763
11/41256 (epoch 0), train_loss = 3.039, time/batch = 0.771
12/41256 (epoch 0), train_loss = 3.003, time/batch = 0.771
13/41256 (epoch 0), train_loss = 3.010, time/batch = 0.766
14/41256 (epoch 0), train_loss = 3.036, time/batch = 0.768
15/41256 (epoch 0), train_loss = 2.963, time/batch = 0.771
16/41256 (epoch 0), train_loss = 2.958, time/batch = 0.772
17/41256 (epoch 0), train_loss = 3.265, time/batch = 0.769
18/41256 (epoch 0), train_loss = 5.919, time/batch = 0.771
19/41256 (epoch 0), train_loss = 5.298, time/batch = 0.777
20/41256 (epoch 0), train_loss = 4.024, time/batch = 0.771
21/41256 (epoch 0), train_loss = 2.964, time/batch = 0.770
22/41256 (epoch 0), train_loss = 2.881, time/batch = 0.774
23/41256 (epoch 0), train_loss = 2.810, time/batch = 0.775
24/41256 (epoch 0), train_loss = 2.770, time/batch = 0.771
25/41256 (epoch 0), train_loss = 2.741, time/batch = 0.771
26/41256 (epoch 0), train_loss = 2.796, time/batch = 0.772
27/41256 (epoch 0), train_loss = 2.827, time/batch = 0.773
28/41256 (epoch 0), train_loss = 2.758, time/batch = 0.776
29/41256 (epoch 0), train_loss = 2.660, time/batch = 0.774
30/41256 (epoch 0), train_loss = 2.756, time/batch = 0.774
31/41256 (epoch 0), train_loss = 2.708, time/batch = 0.778
32/41256 (epoch 0), train_loss = 2.660, time/batch = 0.771
33/41256 (epoch 0), train_loss = 2.758, time/batch = 0.776
34/41256 (epoch 0), train_loss = 2.778, time/batch = 0.777
35/41256 (epoch 0), train_loss = 2.724, time/batch = 0.774
36/41256 (epoch 0), train_loss = 2.706, time/batch = 0.771
37/41256 (epoch 0), train_loss = 2.730, time/batch = 0.772
38/41256 (epoch 0), train_loss = 2.705, time/batch = 0.776
39/41256 (epoch 0), train_loss = 2.714, time/batch = 0.775
40/41256 (epoch 0), train_loss = 2.686, time/batch = 0.771
41/41256 (epoch 0), train_loss = 2.700, time/batch = 0.773
42/41256 (epoch 0), train_loss = 2.650, time/batch = 0.775
43/41256 (epoch 0), train_loss = 2.706, time/batch = 0.782
44/41256 (epoch 0), train_loss = 2.671, time/batch = 0.773
45/41256 (epoch 0), train_loss = 2.591, time/batch = 0.776
46/41256 (epoch 0), train_loss = 2.652, time/batch = 0.778
47/41256 (epoch 0), train_loss = 2.720, time/batch = 0.777
48/41256 (epoch 0), train_loss = 2.610, time/batch = 0.774
49/41256 (epoch 0), train_loss = 2.649, time/batch = 0.780
50/41256 (epoch 0), train_loss = 2.611, time/batch = 0.779
51/41256 (epoch 0), train_loss = 2.567, time/batch = 0.773
52/41256 (epoch 0), train_loss = 2.548, time/batch = 0.777
53/41256 (epoch 0), train_loss = 2.493, time/batch = 0.775
54/41256 (epoch 0), train_loss = 2.498, time/batch = 0.774
55/41256 (epoch 0), train_loss = 2.470, time/batch = 0.779
56/41256 (epoch 0), train_loss = 2.443, time/batch = 0.779
57/41256 (epoch 0), train_loss = 2.502, time/batch = 0.774
58/41256 (epoch 0), train_loss = 2.399, time/batch = 0.774
59/41256 (epoch 0), train_loss = 2.392, time/batch = 0.782
60/41256 (epoch 0), train_loss = 2.411, time/batch = 0.781
61/41256 (epoch 0), train_loss = 2.369, time/batch = 0.773
62/41256 (epoch 0), train_loss = 2.372, time/batch = 0.778
63/41256 (epoch 0), train_loss = 2.436, time/batch = 0.777
64/41256 (epoch 0), train_loss = 2.332, time/batch = 0.778
65/41256 (epoch 0), train_loss = 2.353, time/batch = 0.776
66/41256 (epoch 0), train_loss = 2.384, time/batch = 0.779
67/41256 (epoch 0), train_loss = 2.325, time/batch = 0.781
68/41256 (epoch 0), train_loss = 2.260, time/batch = 0.782
69/41256 (epoch 0), train_loss = 2.319, time/batch = 0.777
70/41256 (epoch 0), train_loss = 2.281, time/batch = 0.777
71/41256 (epoch 0), train_loss = 2.301, time/batch = 0.780
72/41256 (epoch 0), train_loss = 2.250, time/batch = 0.780
73/41256 (epoch 0), train_loss = 2.181, time/batch = 0.780
74/41256 (epoch 0), train_loss = 2.264, time/batch = 0.778
75/41256 (epoch 0), train_loss = 2.216, time/batch = 0.779
76/41256 (epoch 0), train_loss = 2.220, time/batch = 0.782
77/41256 (epoch 0), train_loss = 2.173, time/batch = 0.778
78/41256 (epoch 0), train_loss = 2.141, time/batch = 0.777
79/41256 (epoch 0), train_loss = 2.178, time/batch = 0.779
80/41256 (epoch 0), train_loss = 2.116, time/batch = 0.780
81/41256 (epoch 0), train_loss = 2.107, time/batch = 0.783
82/41256 (epoch 0), train_loss = 2.092, time/batch = 0.776
83/41256 (epoch 0), train_loss = 2.121, time/batch = 0.781
84/41256 (epoch 0), train_loss = 2.057, time/batch = 0.780
85/41256 (epoch 0), train_loss = 2.022, time/batch = 0.800
86/41256 (epoch 0), train_loss = 2.059, time/batch = 0.780
87/41256 (epoch 0), train_loss = 2.083, time/batch = 0.780
