TIME, GPU TEMP,GPU MEMORY USE,GPU POWER USE,GPU CORE UTILIZATION,CPU USE PERCENTAGE,RAM USE IN BYTES
1533058724910,52,329,36,2,78.2245,144345232715
1533058725198,53,329,36,2,78.224,144396435213
1533058725491,53,329,36,2,78.2235,144475260112
1533058725778,53,329,36,2,78.2232,146214797623
1533058726058,53,329,36,1,78.2227,150114272107
1533058726340,53,329,36,0,78.2223,153170926517
1533058726626,53,329,36,1,78.2218,154055517049
1533058726916,53,329,36,1,78.2212,153996903663
1533058727200,53,329,36,0,78.2207,154161290631
1533058727490,53,329,36,0,78.2202,154117499021
1533058727784,53,329,36,1,78.2196,154029242083
1533058728106,53,329,36,1,78.219,153973997282
1533058728400,53,329,36,1,78.2185,154037326688
1533058728695,53,329,36,0,78.2179,153998924814
1533058728989,53,329,36,1,78.2174,154120193889
1533058729283,53,329,36,1,78.2168,153990166492
1533058729570,53,329,36,1,78.2163,153998924814
1533058729865,53,329,36,0,78.2158,154040021556
1533058730150,53,329,36,2,78.2152,154152532309
1533058730438,53,329,36,1,78.2147,154019810043
1533058730729,53,329,36,0,78.2141,154014420307
1533058731025,53,329,36,0,78.2136,153895846100
1533058731338,53,329,36,2,78.213,153959175506
1533058731664,53,329,36,3,78.2125,153975344716
1533058731959,53,329,36,2,78.2119,153903256988
1533058732253,53,329,36,1,78.2114,154002293399
1533058732543,53,329,36,0,78.2108,153928858237
1533058732834,53,329,36,2,78.2103,154073707410
1533058733129,53,329,36,2,78.2098,153957154355
1533058733465,53,329,37,2,78.2092,153982081887
1533058733750,53,329,36,0,78.2086,154085160601
1533058734042,53,329,36,0,78.2081,154052822181
1533058734342,53,329,36,2,78.2075,154001619682
1533058734632,53,329,36,2,78.207,197344534575
1533058734914,53,329,36,0,78.2066,220910484461
1533058735195,53,329,36,0,78.2061,221776210915
1533058735477,53,329,36,1,78.2057,222474181814
1533058735759,53,329,36,0,78.2053,223238176987
1533058736045,53,329,36,0,78.2048,224104577157
1533058736327,53,329,36,1,78.2044,224690711021
1533058736609,53,329,36,1,78.2039,225500518956
1533058736890,53,329,36,0,78.2035,226244976334
1533058737171,53,329,36,1,78.203,226824373026
1533058737452,53,329,36,1,78.2026,227560745799
1533058737733,53,329,36,0,78.2021,228016178548
1533058738015,53,329,36,1,78.2017,228580753465
1533058738296,53,329,36,1,78.2012,229067177199
1533058738579,53,329,36,0,78.2008,229527325968
1533058738861,53,329,36,1,78.2004,230240118643
1533058739143,53,329,36,1,78.1999,230778418593
1533058739425,53,329,36,0,78.1995,231210944961
1533058739707,53,329,36,1,78.199,231782257048
1533058739989,53,329,36,1,78.1986,232241058383
1533058740278,53,329,36,0,78.1981,232879742179
1533058740560,53,329,36,0,78.1977,233317658283
1533058740841,53,329,36,1,78.1972,233872801161
1533058741123,53,329,36,1,78.1968,234617258539
1533058741405,53,329,36,0,78.1963,235055174643
1533058741686,53,329,36,1,78.1959,235476921538
1533058741967,53,329,36,1,78.1955,235974798463
1533058742248,53,329,36,0,78.195,236639083508
1533058742530,53,329,36,1,78.1946,237138981585
1533058742810,53,329,36,1,78.1941,238513364436
1533058743093,53,329,36,0,78.1937,244378745371
1533058743375,53,329,36,1,78.1932,247401040211
1533058743657,53,329,36,1,78.1928,244795102529
1533058743937,53,329,36,0,78.1923,250265685252
1533058744218,53,329,36,1,78.192,269399250443
1533058744499,53,329,36,1,78.1915,269796069805
1533058744780,53,329,36,0,78.1911,270118106571
1533058745061,53,329,36,1,78.1906,270912419014
1533058745342,53,329,36,1,78.1902,270838983851
1533058745624,53,329,36,0,78.1897,271937816416
1533058745928,53,329,36,0,78.1895,312737449315
1533058746328,53,329,36,1,78.1897,335372322192
1533058746934,53,329,36,0,78.19,358598044951
1533058747546,54,329,36,1,78.1903,382618080153
1533058748166,54,329,36,0,78.1906,401813627315
1533058748747,54,329,36,1,78.191,424936271360
1533058749348,54,329,36,0,78.1913,449397591252
1533058749970,54,329,36,0,78.1916,469650200519
1533058750562,54,329,36,1,78.1919,491000968633
1533058751210,54,329,37,0,78.1923,515859781604
1533058751822,54,329,36,0,78.1926,537461172474
1533058752428,54,329,36,1,78.1929,559169010642
1533058753046,54,329,36,1,78.1933,581262214983
1533058753646,54,329,36,0,78.1936,601456884581
1533058754238,54,329,36,1,78.1939,624067503642
1533058754854,54,329,36,0,78.1943,645748393128
1533058755462,54,329,37,0,78.1946,667539772215
1533058756082,54,329,36,1,78.1949,687892091610
1533058756695,54,329,36,0,78.1952,710906267205
1533058757270,54,329,36,1,78.1956,732835758295
1533058757870,54,329,36,0,78.1959,751531407380
1533058758490,55,329,36,0,78.1962,773743859645
1533058759137,55,329,36,1,78.1966,795531870146
1533058759754,55,329,36,1,78.1969,819064807896
1533058760362,55,329,37,0,78.1972,839208948713
1533058761006,55,329,37,0,78.1976,861562881565
1533058761626,55,329,36,1,78.1979,883923551588
1533058762202,55,329,36,0,78.1982,903299654929
1533058762792,55,329,36,1,78.1985,924407211175
1533058763414,55,329,37,0,78.1988,946767881199
1533058764021,55,329,36,1,78.1992,969290243322
1533058764622,55,329,31,1,78.1995,989542178872
1533058765190,55,319,31,0,78.1998,1009335986805
1533058765833,55,319,31,1,78.2001,1029790037480
1533058766446,55,319,31,0,78.2005,1052197867699
1533058767031,55,319,25,0,78.2008,1072941616720
1533058767646,55,319,25,1,78.2011,1096016426853
1533058768253,55,319,25,0,78.2014,1117797700184
1533058768858,55,319,25,1,78.2018,1138770513013
1533058769474,55,319,25,1,78.2021,1160235139315
1533058770065,55,319,10,0,78.2024,1180924990969
1533058770622,55,319,10,0,78.2027,1202396354442
1533058771277,55,319,10,0,78.2031,1224231525139
1533058771897,55,319,10,0,78.2034,1245224549482
1533058772486,54,319,6,4,78.2037,1266244522507
1533058773012,54,319,6,5,78.204,1284953645935
1533058773630,54,319,6,1,78.2043,1305993830473
1533058774254,54,319,6,0,78.2047,1328812628113
1533058774857,54,319,6,5,78.205,1348983717613
1533058775484,54,319,6,0,78.2053,1373008468834
1533058776031,54,319,6,5,78.2056,1460625375629
1533058776466,54,319,7,0,78.2058,1461494470668
1533058777051,54,319,7,5,78.2061,1478526038555
1533058777648,54,319,7,0,78.2064,1482332540081
1533058778272,54,319,7,0,78.2068,1424574774456
1533058778886,54,319,6,5,78.2071,1413539288617
1533058779506,54,319,6,1,78.2074,1418134039131
1533058780106,54,319,6,0,78.2077,1417359264484
1533058780752,54,319,6,5,78.2081,1422978064966
1533058781384,54,319,7,5,78.2084,1423752839613
1533058781998,54,319,6,0,78.2088,1417440110535
1533058782632,54,319,6,0,78.2091,1422439091299
1533058783238,54,319,6,5,78.2094,1416894399696
1533058783850,54,319,6,1,78.2098,1416678810229
1533058784469,54,319,6,0,78.2101,1412063848203
1533058785069,53,319,6,6,78.2104,1410339132468
1533058785690,54,319,7,1,78.2108,1404026403389
1533058786328,53,319,6,0,78.2111,1400610657772
1533058786946,53,319,7,5,78.2114,1393361461947
1533058787542,53,319,6,1,78.2117,1390397106776
1533058788170,54,319,6,0,78.2121,1387196950627
1533058788782,54,319,6,6,78.2124,1383080539242
1533058789406,53,319,6,5,78.2127,1373850615189
1533058790022,53,319,6,0,78.2131,1369633146243
1533058790630,53,319,6,6,78.2134,1367841058799
1533058791262,53,319,7,5,78.2137,1362943135597
1533058791889,53,319,6,1,78.2141,1360100049502
1533058792498,53,319,6,0,78.2144,1357937417662
1533058793120,53,319,6,6,78.2147,1354535146387
1533058793720,53,319,6,0,78.2151,1352689161576
1533058794336,53,319,6,0,78.2154,1343991474019
1533058794964,53,319,6,5,78.2157,1342644039851
1533058795596,53,319,6,4,78.2161,1337550738695
1533058796232,53,319,6,0,78.2164,1338352462025
1533058796844,53,319,6,5,78.2167,1332268796755
1533058797466,53,319,6,6,78.2171,1326218817339
1533058798068,53,319,6,0,78.2174,1321010984279
1533058798678,53,319,6,0,78.2177,1317581764320
1533058799298,53,319,6,5,78.2181,1315425869651
1533058799922,53,319,6,1,78.2184,1306000567644
1533058800518,53,319,7,0,78.2187,1300509773408
1533058801138,53,319,6,5,78.219,1295079613709
1533058801750,53,319,6,0,78.2194,1281322310851
1533058802354,53,319,6,5,78.2197,1281355996705
1533058803012,53,319,7,5,78.2201,1279051884277
1533058803615,53,319,6,1,78.2204,1277603392546
1533058804215,53,319,6,0,78.2207,1271209817418
1533058804828,53,319,6,5,78.221,1270172293108
1533058805438,53,319,6,0,78.2214,1268178090539
1533058806058,53,319,6,0,78.2217,1262464969665
1533058806700,53,319,6,5,78.222,1260309074996
1533058807334,53,319,6,5,78.2224,1256253298149
1533058807953,53,319,6,0,78.2227,1256394778737
1533058808580,53,319,6,0,78.223,1250095524000
1533058809190,53,319,6,5,78.2234,1244779896206
1533058809828,53,319,6,4,78.2237,1237187104668
1533058810461,53,319,6,1,78.224,1232646251520
1533058811084,53,319,6,0,78.2244,1231298817352
1533058811686,53,319,6,6,78.2247,1226650169471
1533058812312,53,319,6,0,78.225,1218343237824
1533058812938,53,319,6,0,78.2254,1215702266854
1533058813562,53,319,6,5,78.2257,1212663802804
1533058814186,53,319,6,5,78.226,1212171989333
1533058814838,53,319,6,3,78.2264,1203070071526
1533058815484,53,319,6,0,78.2267,1202214450829
1533058816110,53,319,6,0,78.2271,1196844925668
1533058816712,53,319,6,5,78.2274,1192236700812
1533058817338,53,319,6,1,78.2277,1187992283182
1533058817930,53,319,6,0,78.2281,1182804661634
1533058818558,53,319,6,5,78.2284,1180379280131
1533058819215,53,319,6,5,78.2287,1178061693362
1533058819844,53,319,6,0,78.2291,1169734550201
1533058820454,53,319,6,0,78.2294,1166985784498
1533058821086,53,319,6,5,78.2298,1159911755114
1533058821704,53,319,6,3,78.2301,1155876189780
1533058822352,53,319,6,0,78.2304,1148633731126
1533058822991,53,319,6,0,78.2308,1142900398739
1533058823598,53,319,6,5,78.2311,1142064989555
1533058824238,52,319,6,6,78.2314,1139208429118
1533058824854,53,319,6,0,78.2318,1133434673707
1533058825468,53,319,6,5,78.2321,1125579132506
1533058826087,53,319,6,6,78.2324,1126966989699
1533058826720,52,319,6,1,78.2328,1124433813463
1533058827338,53,319,6,0,78.2331,1119448307040
1533058827975,52,319,6,0,78.2334,1114732287451
1533058828588,53,319,6,5,78.2338,1112401226339
1533058829199,53,319,6,0,78.2341,1110400286599
1533058829822,53,319,6,0,78.2344,1102281995735
1533058830412,53,319,6,4,78.2347,1098165584351
1533058831008,52,319,7,0,78.2351,1088861551419
1533058831668,52,319,6,0,78.2354,1088928923127
1533058832274,53,319,6,5,78.2358,1088026142235
1533058832916,53,319,6,0,78.2361,1081565195397
1533058833537,52,319,6,0,78.2364,1081774047694
1533058834170,52,319,6,0,78.2368,1077428572501
1533058834799,52,319,6,5,78.2371,1070442126338
1533058835421,52,319,6,2,78.2374,836601663597
1533058836022,52,319,6,0,78.2377,523180391441
1533058836329,52,319,6,5,78.2374,294582795048
1533058836612,52,319,6,7,78.2369,296772375572
1533058836895,53,319,6,3,78.2365,303802613345
1533058837178,53,319,6,7,78.2361,306937418938
1533058837460,52,319,7,6,78.2357,380318010027
1533058837758,52,319,6,1,78.2358,355420121465
1533058838322,52,319,6,6,78.2361,374637901291
1533058838914,52,319,6,0,78.2364,393729696022
1533058839414,52,319,6,2,78.2367,411138545476
1533058840022,52,319,6,7,78.237,431545435956
1533058840646,52,319,6,8,78.2373,455159893473
1533058841270,52,319,6,0,78.2377,476729619639
1533058841879,52,319,6,0,78.238,497435640504
1533058842505,52,319,6,10,78.2383,519722201648
1533058843116,52,319,6,0,78.2387,541906357795
1533058843742,52,319,6,0,78.239,563096107526
1533058844390,52,319,6,0,78.2393,586020678749
1533058844998,52,319,6,8,78.2397,606009190919
1533058845602,52,319,6,0,78.24,627413856399
1533058846199,52,319,6,6,78.2403,649216688677
1533058846813,52,319,6,1,78.2406,670678620110
1533058847460,52,319,6,0,78.241,692251041145
1533058848050,52,319,6,5,78.2413,713594398371
1533058848670,52,319,6,4,78.2416,737026278558
1533058849315,52,319,7,0,78.242,757581386796
1533058849934,52,319,7,0,78.2423,778918006851
1533058850541,52,319,6,5,78.2426,800948555503
1533058851172,52,319,6,1,78.243,823578712360
1533058851806,52,319,6,0,78.2433,847037541231
1533058852422,52,319,6,5,78.2436,867740867227
1533058853022,52,319,6,4,78.244,888659782690
1533058853622,52,319,6,0,78.2443,909181205073
1533058854226,52,319,6,5,78.2446,929554409698
1533058854836,52,319,6,0,78.2449,953572423749
1533058855442,52,319,6,0,78.2452,975474966155
1533058856030,52,319,6,4,78.2456,995194665208
1533058856606,52,319,6,5,78.2459,1014779620845
1533058857236,52,319,6,5,78.2462,1038346244449
1533058857858,52,319,6,0,78.2465,1056698297821
1533058858418,52,319,6,5,78.2468,1078708634961
1533058859041,52,319,6,1,78.2472,1101177099717
1533058859668,52,319,7,0,78.2475,1122277918793
1533058860278,52,319,6,8,78.2478,1144490371058
1533058860880,52,319,6,1,78.2482,1167053156207
1533058861490,52,319,6,0,78.2485,1188571679875
1533058862152,52,319,6,0,78.2488,1213492474818
1533058862738,52,319,6,5,78.2492,1234189063643
1533058863356,52,319,6,0,78.2495,1256927015233
1533058863974,52,319,6,5,78.2498,1279314633940
1533058864590,52,319,6,5,78.2502,1301432765813
1533058865206,52,319,6,0,78.2505,1323779961495
1533058865806,52,319,6,5,78.2508,1346780662748
1533058866436,52,319,6,5,78.2511,1368932480475
1533058867041,52,319,6,0,78.2515,1390309523555
1533058867558,52,319,6,0,78.2517,1468022789213
1533058868121,52,319,6,6,78.252,1477798424104
1533058868741,52,319,6,0,78.2523,1491407509204
1533058869354,52,319,6,0,78.2526,1492977270011
1533058869972,52,319,6,5,78.253,1424123384009
1533058870600,52,319,6,3,78.2533,1424803838264
1533058871195,52,319,6,0,78.2536,1425888522770
1533058871796,52,319,6,5,78.2539,1429910613762
1533058872441,52,319,6,0,78.2543,1431022246951
1533058873034,52,319,6,0,78.2546,1430894240705
1533058873648,52,319,6,5,78.2549,1429856716396
1533058874288,52,319,6,3,78.2553,1426218644141
1533058874906,52,319,6,0,78.2556,1425706619157
1533058875520,52,319,6,5,78.2559,1411033061064
1533058876140,52,319,6,2,78.2563,1411828047224
1533058876758,52,319,6,0,78.2566,1412030162349
1533058877366,52,319,6,5,78.2569,1410453664372
1533058877996,52,319,6,5,78.2573,1391434631086
1533058878616,52,319,6,0,78.2576,1390349946580
1533058879238,52,319,6,0,78.2579,1386651239788
1533058879842,52,319,6,5,78.2583,1384151749406
1533058880470,52,319,6,4,78.2586,1382629148796
1533058881083,52,319,6,0,78.2589,1380102709730
1533058881700,52,319,6,5,78.2592,1375588805267
1533058882294,52,319,6,0,78.2596,1372247168529
1533058882902,52,319,6,0,78.2599,1369788101172
1533058883523,52,319,6,5,78.2602,1347865347253
1533058884136,52,319,6,0,78.2606,1351153086624
1533058884774,52,319,6,0,78.2609,1348916345905
1533058885420,52,319,6,5,78.2612,1353093391826
1533058886022,52,319,6,5,78.2616,1356482188760
1533058886650,52,319,6,1,78.2619,1351860489562
1533058887258,52,319,6,0,78.2622,1348694019267
1533058887866,52,319,6,5,78.2625,1343034795760
1533058888492,52,319,6,0,78.2629,1335583484809
1533058889125,52,319,6,0,78.2632,1333508436190
1533058889752,52,319,6,5,78.2636,1327849212683
1533058890384,52,319,6,5,78.2639,1325033075271
1533058891002,52,319,6,1,78.2642,1322243886543
1533058891607,52,319,6,0,78.2645,1314179493045
1533058892248,52,319,6,5,78.2649,1310406677374
1533058892870,52,319,6,5,78.2652,1306384586382
1533058893474,52,319,6,0,78.2655,1301190227663
1533058894104,52,319,6,5,78.2659,1286469509374
1533058894742,52,319,6,5,78.2662,1283377147958
1533058895350,52,319,6,0,78.2665,1287655251442
1533058895964,52,319,7,5,78.2669,1287291444217
1533058896586,52,319,6,5,78.2672,1286806367916
1533058897232,52,319,6,4,78.2676,1283909384454
1533058897904,52,319,6,4,78.2679,1280567747717
1533058898502,52,319,6,0,78.2682,1277933513918
1533058899090,52,319,6,5,78.2685,1269875857591
1533058899742,52,319,6,5,78.2689,1266554432366
1533058900350,52,319,6,0,78.2692,1258833634582
1533058900942,52,319,6,5,78.2695,1258934692144
1533058901578,52,319,6,4,78.2699,1254750909052
1533058902232,52,319,6,0,78.2702,1247912680647
1533058902856,52,319,6,0,78.2706,1241990707478
1533058903466,52,319,6,5,78.2709,1240306414767
1533058904098,52,319,6,4,78.2712,1233090904796
1533058904725,52,319,6,0,78.2716,1214449153077
1533058905358,52,319,6,0,78.2719,1212387578800
1533058905904,52,319,6,0,78.2722,1208015154923
1533058906498,52,319,6,5,78.2725,1207779353944
1533058907126,52,319,6,5,78.2728,1206755303976
1533058907738,52,319,6,0,78.2732,1206506028655
1533058908384,52,319,6,0,78.2735,1200260671285
1533058909018,52,319,7,0,78.2738,1196595650347
1533058909638,52,319,6,6,78.2742,1187305091756
1533058910273,52,319,6,1,78.2745,1181437015953
1533058910889,52,319,6,0,78.2748,1180035684418
1533058911506,52,319,6,5,78.2752,1178634352883
1533058912118,52,319,6,4,78.2755,1176013593426
1533058912726,52,319,6,0,78.2758,1174511204328
1533058913356,52,319,6,5,78.2762,1171102195882
1533058913982,52,319,6,6,78.2765,1173157032989
1533058914606,52,319,6,0,78.2768,1163280340535
1533058915234,52,319,6,0,78.2772,1160511363319
1533058915854,52,319,6,5,78.2775,1160504626148
1533058916458,52,319,6,1,78.2778,1143345052015
1533058917054,52,319,6,0,78.2781,1144887864138
1533058917698,52,319,6,5,78.2785,1142118886922
1533058918340,52,319,6,5,78.2788,1144712697696
1533058918964,52,319,6,0,78.2792,1141997617847
1533058919574,52,319,6,0,78.2795,1132767693794
1533058920232,52,319,7,0,78.2798,1129466480081
1533058920834,52,319,6,5,78.2802,1122372239185
1533058921474,52,319,6,0,78.2805,1120620574766
1533058922086,52,319,6,0,78.2808,1114914191063
1533058922686,52,319,6,5,78.2811,1112145213847
1533058923309,52,319,6,0,78.2815,1106209766336
1533058923902,52,319,6,6,78.2818,1102281995735
1533058924510,52,319,6,5,78.2821,1096595823545
1533058925122,52,319,6,0,78.2824,1093496724958
1533058925774,52,319,6,0,78.2828,1086638285041
