0/293 (epoch 0), train_loss = 5.333, time/batch = 91.505
1/293 (epoch 0), train_loss = 4.964, time/batch = 90.629
2/293 (epoch 0), train_loss = 4.764, time/batch = 90.566
3/293 (epoch 0), train_loss = 4.724, time/batch = 90.583
4/293 (epoch 0), train_loss = 3.919, time/batch = 90.619
5/293 (epoch 0), train_loss = 3.455, time/batch = 90.582
6/293 (epoch 0), train_loss = 3.198, time/batch = 90.580
7/293 (epoch 0), train_loss = 3.123, time/batch = 90.564
8/293 (epoch 0), train_loss = 3.144, time/batch = 90.523
9/293 (epoch 0), train_loss = 3.037, time/batch = 90.549
10/293 (epoch 0), train_loss = 2.980, time/batch = 90.508
11/293 (epoch 0), train_loss = 2.877, time/batch = 90.535
12/293 (epoch 0), train_loss = 4.091, time/batch = 90.560
13/293 (epoch 0), train_loss = 3.234, time/batch = 90.654
14/293 (epoch 0), train_loss = 2.838, time/batch = 90.546
15/293 (epoch 0), train_loss = 2.805, time/batch = 90.560
16/293 (epoch 0), train_loss = 2.785, time/batch = 90.571
17/293 (epoch 0), train_loss = 2.681, time/batch = 90.515
18/293 (epoch 0), train_loss = 2.613, time/batch = 90.586
19/293 (epoch 0), train_loss = 2.544, time/batch = 90.528
20/293 (epoch 0), train_loss = 2.563, time/batch = 90.529
21/293 (epoch 0), train_loss = 2.545, time/batch = 90.535
22/293 (epoch 0), train_loss = 2.548, time/batch = 90.566
23/293 (epoch 0), train_loss = 2.503, time/batch = 90.596
24/293 (epoch 0), train_loss = 2.448, time/batch = 90.572
25/293 (epoch 0), train_loss = 2.452, time/batch = 90.683
26/293 (epoch 0), train_loss = 2.417, time/batch = 90.536
27/293 (epoch 0), train_loss = 2.398, time/batch = 90.551
28/293 (epoch 0), train_loss = 2.400, time/batch = 90.575
29/293 (epoch 0), train_loss = 2.413, time/batch = 90.587
30/293 (epoch 0), train_loss = 2.382, time/batch = 90.627
31/293 (epoch 0), train_loss = 2.498, time/batch = 90.587
32/293 (epoch 0), train_loss = 2.410, time/batch = 90.537
33/293 (epoch 0), train_loss = 2.382, time/batch = 90.588
34/293 (epoch 0), train_loss = 2.383, time/batch = 90.579
35/293 (epoch 0), train_loss = 2.379, time/batch = 90.587
36/293 (epoch 0), train_loss = 2.337, time/batch = 90.585
37/293 (epoch 0), train_loss = 2.292, time/batch = 90.620
38/293 (epoch 0), train_loss = 2.271, time/batch = 90.608
39/293 (epoch 0), train_loss = 2.251, time/batch = 90.669
40/293 (epoch 0), train_loss = 2.220, time/batch = 90.530
41/293 (epoch 0), train_loss = 2.202, time/batch = 90.592
42/293 (epoch 0), train_loss = 2.202, time/batch = 90.549
43/293 (epoch 0), train_loss = 2.168, time/batch = 90.574
44/293 (epoch 0), train_loss = 2.187, time/batch = 90.565
45/293 (epoch 0), train_loss = 2.151, time/batch = 90.578
46/293 (epoch 0), train_loss = 2.145, time/batch = 90.616
47/293 (epoch 0), train_loss = 2.130, time/batch = 90.574
48/293 (epoch 0), train_loss = 2.125, time/batch = 90.578
49/293 (epoch 0), train_loss = 2.065, time/batch = 90.591
50/293 (epoch 0), train_loss = 2.064, time/batch = 90.613
51/293 (epoch 0), train_loss = 2.065, time/batch = 90.606
52/293 (epoch 0), train_loss = 2.072, time/batch = 90.575
53/293 (epoch 0), train_loss = 2.036, time/batch = 90.575
54/293 (epoch 0), train_loss = 2.005, time/batch = 90.534
55/293 (epoch 0), train_loss = 2.004, time/batch = 90.553
56/293 (epoch 0), train_loss = 2.004, time/batch = 90.620
57/293 (epoch 0), train_loss = 1.983, time/batch = 90.614
58/293 (epoch 0), train_loss = 1.969, time/batch = 90.545
59/293 (epoch 0), train_loss = 1.949, time/batch = 90.637
60/293 (epoch 0), train_loss = 1.921, time/batch = 90.552
61/293 (epoch 0), train_loss = 1.894, time/batch = 90.605
62/293 (epoch 0), train_loss = 1.872, time/batch = 90.586
63/293 (epoch 0), train_loss = 1.837, time/batch = 90.575
64/293 (epoch 0), train_loss = 1.833, time/batch = 90.563
65/293 (epoch 0), train_loss = 1.802, time/batch = 90.632
66/293 (epoch 0), train_loss = 1.773, time/batch = 90.612
67/293 (epoch 0), train_loss = 1.760, time/batch = 90.624
68/293 (epoch 0), train_loss = 1.748, time/batch = 90.523
69/293 (epoch 0), train_loss = 1.730, time/batch = 90.524
70/293 (epoch 0), train_loss = 1.702, time/batch = 90.588
71/293 (epoch 0), train_loss = 1.669, time/batch = 90.563
72/293 (epoch 0), train_loss = 1.622, time/batch = 90.617
73/293 (epoch 0), train_loss = 1.678, time/batch = 90.622
74/293 (epoch 0), train_loss = 1.648, time/batch = 90.569
75/293 (epoch 0), train_loss = 1.553, time/batch = 90.642
76/293 (epoch 0), train_loss = 1.551, time/batch = 90.514
77/293 (epoch 0), train_loss = 1.591, time/batch = 90.535
78/293 (epoch 0), train_loss = 1.556, time/batch = 90.574
79/293 (epoch 0), train_loss = 1.540, time/batch = 90.579
80/293 (epoch 0), train_loss = 1.522, time/batch = 90.528
81/293 (epoch 0), train_loss = 1.460, time/batch = 90.556
82/293 (epoch 0), train_loss = 1.500, time/batch = 90.650
83/293 (epoch 0), train_loss = 1.473, time/batch = 90.564
84/293 (epoch 0), train_loss = 1.449, time/batch = 90.578
85/293 (epoch 0), train_loss = 1.421, time/batch = 90.627
86/293 (epoch 0), train_loss = 1.426, time/batch = 90.618
87/293 (epoch 0), train_loss = 1.398, time/batch = 90.569
88/293 (epoch 0), train_loss = 1.390, time/batch = 90.593
89/293 (epoch 0), train_loss = 1.375, time/batch = 90.617
90/293 (epoch 0), train_loss = 1.384, time/batch = 90.576
91/293 (epoch 0), train_loss = 1.338, time/batch = 90.564
92/293 (epoch 0), train_loss = 1.323, time/batch = 90.581
93/293 (epoch 0), train_loss = 1.370, time/batch = 90.616
94/293 (epoch 0), train_loss = 1.318, time/batch = 90.537
95/293 (epoch 0), train_loss = 1.291, time/batch = 90.581
